year,mon,temp_diff
2012,January,26
2012,February,23
2012,March,28
2012,April,24
2012,May,32
2012,June,32
2012,July,26
2012,August,26
2012,September,30
2012,October,34
2012,November,23
2012,December,23
2013,January,23
2013,February,26
2013,March,30
2013,April,32
2013,May,33
2013,June,26
2013,July,24
2013,August,22
2013,September,30
2013,October,27
2013,November,23
2013,December,26
2014,January,28
2014,February,26
2014,March,25
2014,April,32
2014,May,33
2014,June,32
2014,July,28
2014,August,18
2014,September,26
2014,October,32
2014,November,22
2014,December,17
2015,January,26
2015,February,24
2015,March,27
2015,April,36
2015,May,21
2015,June,29
2015,July,29
2015,August,32
2015,September,32
2015,October,26
2015,November,21
2015,December,18
2016,January,13
2016,February,22
2016,March,25
2016,April,30
2016,May,33
2016,June,31
2016,July,28
2016,August,19
2016,September,36
2016,October,30
2016,November,21
2016,December,86
