city,contin_no_raindays,frequency
Boston,15,3
Boston,13,2
Boston,12,3
Boston,11,2
Boston,10,3
Boston,9,5
Boston,8,8
Boston,7,11
Boston,6,12
Boston,5,33
Boston,4,51
Boston,3,57
Boston,2,73
Boston,1,80
Duluth,68,1
Duluth,58,1
Duluth,54,1
Duluth,47,1
Duluth,31,1
Duluth,28,1
Duluth,22,2
Duluth,21,1
Duluth,20,1
Duluth,19,1
Duluth,18,1
Duluth,17,1
Duluth,16,1
Duluth,15,2
Duluth,14,2
Duluth,13,5
Duluth,12,2
Duluth,11,2
Duluth,10,5
Duluth,9,4
Duluth,8,4
Duluth,7,10
Duluth,6,12
Duluth,5,12
Duluth,4,24
Duluth,3,36
Duluth,2,59
Duluth,1,78
New_York,18,2
New_York,15,3
New_York,13,1
New_York,12,2
New_York,11,7
New_York,10,6
New_York,9,6
New_York,8,17
New_York,7,16
New_York,6,16
New_York,5,27
New_York,4,44
New_York,3,35
New_York,2,71
New_York,1,62
Orlando,23,1
Orlando,18,1
Orlando,16,3
Orlando,14,1
Orlando,13,3
Orlando,12,5
Orlando,11,4
Orlando,10,2
Orlando,9,11
Orlando,8,8
Orlando,7,12
Orlando,6,22
Orlando,5,24
Orlando,4,26
Orlando,3,37
Orlando,2,43
Orlando,1,106
San_Francisco,62,1
San_Francisco,55,1
San_Francisco,42,1
San_Francisco,40,1
San_Francisco,39,1
San_Francisco,37,1
San_Francisco,35,2
San_Francisco,34,1
San_Francisco,33,1
San_Francisco,31,2
San_Francisco,30,3
San_Francisco,29,1
San_Francisco,27,2
San_Francisco,26,1
San_Francisco,25,2
San_Francisco,24,1
San_Francisco,23,2
San_Francisco,22,1
San_Francisco,21,1
San_Francisco,20,1
San_Francisco,18,2
San_Francisco,17,1
San_Francisco,16,2
San_Francisco,15,2
San_Francisco,14,3
San_Francisco,13,3
San_Francisco,12,1
San_Francisco,11,2
San_Francisco,10,3
San_Francisco,9,6
San_Francisco,8,5
San_Francisco,7,9
San_Francisco,6,11
San_Francisco,5,8
San_Francisco,4,10
San_Francisco,3,8
San_Francisco,2,14
San_Francisco,1,29
