Children’s Series,Rank,3199
Children’s Picture Books,1,3199
Hardcover Fiction,2,3199
Paperback Trade Fiction,3,3199
Hardcover Nonfiction,4,3199
Paperback Nonfiction,5,3199
Paperback Mass-Market Fiction,6,3157
Manga,7,2877
Hardcover Graphic Books,8,2877
Paperback Graphic Books,9,2877
Combined Print & E-Book Nonfiction,10,2219
Combined Print & E-Book Fiction,11,2219
E-Book Nonfiction,12,2177
E-Book Fiction,13,2177
Politics and American History,14,2023
Paperback Advice & Misc.,15,1778
Hardcover Advice & Misc.,16,1778
Children’s Chapter Books,17,1645
Children’s Paperback Books,18,1645
Science,19,1428
"Advice, How-To & Miscellaneous",20,1414
Food and Diet,21,1232
Business,22,1225
Sports and Fitness,23,1106
Children’s Middle Grade,24,980
Young Adult,25,980
"Religion, Spirituality and Faith",26,861
Travel,27,861
Animals,28,861
Love and Relationships,29,861
Humor,30,861
Parenthood and Family,31,861
Celebrities,32,861
Hardcover Business Books,33,833
Paperback Business Books,34,833
Crime and Punishment,35,826
Games and Activities,36,826
Health,37,826
Culture,38,826
"Fashion, Manners and Customs",39,826
Education,40,826
Combined Hardcover & Paperback Fiction,41,819
Combined Hardcover & Paperback Nonfiction,42,819
Race and Civil Rights,43,763
Expeditions,44,763
Espionage,45,763
Children’s Middle Grade Hardcover,46,560
Young Adult Hardcover,47,560
Children’s Middle Grade Paperback,48,518
Children’s Middle Grade E-Book,49,518
Young Adult Paperback,50,518
Young Adult E-Book,51,518
Indigenous Americans,52,392
